"Genes","tissue","expression"
"GRB10","Preoptic Area (ref)",-10
"PEG10","Preoptic Area (ref)",-10
"SGCE","Preoptic Area (ref)",-10
"PEG1","Preoptic Area (ref)",13.3883
"MCTS2","Preoptic Area (ref)",-6.3
"H13","Preoptic Area (ref)",10
"SNRPN","Preoptic Area (ref)",-10
"ZRSR1","Preoptic Area (ref)",-10
"MEG3","Preoptic Area (ref)",10
"RIAN","Preoptic Area (ref)",10
"PEG3","Preoptic Area (ref)",-10
"PLAGL1","Preoptic Area (ref)",-10
"1110014L15RIK-new","Preoptic Area (ref)",10
"ASB4","Preoptic Area (ref)",10
"ZIM1","Preoptic Area (ref)",10
"KLHDC10","Preoptic Area (ref)",1.23
"DLK1","Preoptic Area (ref)",-10
"GNAS","Preoptic Area (ref)",10
"PPP1R9A","Preoptic Area (ref)",10
"PDE4D","Preoptic Area (ref)",0.87
"A19","Preoptic Area (ref)",-12
"ZFP264","Preoptic Area (ref)",-12
"KCNQ1OT1","Preoptic Area (ref)",-4.9
"AK050713","Preoptic Area (ref)",-12
"RTL1","Preoptic Area (ref)",-8.6
"CDKN1C","Preoptic Area (ref)",0.4
"PEG12","Preoptic Area (ref)",11
"KCNQ1","Preoptic Area (ref)",-9.2
"NESPAS","Preoptic Area (ref)",-1.8
"SLC38A4","Preoptic Area (ref)",11
"H19","Preoptic Area (ref)",-12
"IGF2","Preoptic Area (ref)",5.21
"INS1","Preoptic Area (ref)",-12
"TFPI2","Preoptic Area (ref)",-12
"AK043599","Preoptic Area (ref)",0.96
"EDN3-new","Preoptic Area (ref)",12.0112
"TMEM106A-new","Preoptic Area (ref)",0.35
"DDC","Preoptic Area (ref)",0.72
"RDM1","Preoptic Area (ref)",12.6094
"TNK1-new","Preoptic Area (ref)",11.6994
"TREM1-new","Preoptic Area (ref)",-12
"2400006E01RIK-new","Preoptic Area (ref)",-12
"IGF2AS","Preoptic Area (ref)",-12
"UC008IHS.1-new","Preoptic Area (ref)",-12
"5133400J02RIK-new","Preoptic Area (ref)",-12
"PHLDA2","Preoptic Area (ref)",-12
"AF357359","Preoptic Area (ref)",1.5
"GAB1","Preoptic Area (ref)",13.1799
"SFMBT2","Preoptic Area (ref)",-0.5
"CD81","Preoptic Area (ref)",16.3169
"PHF17","Preoptic Area (ref)",12.7728
"TSSC4","Preoptic Area (ref)",13.6834
"DACT2-new","Preoptic Area (ref)",12.2244
"SLC22A2","Preoptic Area (ref)",-12
"TSSC5","Preoptic Area (ref)",-12
"SLC22A3","Preoptic Area (ref)",11
"KLF14","Preoptic Area (ref)",NA
"ATP10A","Preoptic Area (ref)",12.1562
"DCN","Preoptic Area (ref)",13.2672
"PON2","Preoptic Area (ref)",13.3491
"PON3","Preoptic Area (ref)",11.3954
"AMPD3","Preoptic Area (ref)",-0.3
"GABRB3","Preoptic Area (ref)",-1.8
"GATM","Preoptic Area (ref)",14.0721
"TBC1D12","Preoptic Area (ref)",0.47
"DIO3","Preoptic Area (ref)",-3
"NAP1L4","Preoptic Area (ref)",1.06
"MSUIT","Preoptic Area (ref)",-12
"ASCL2","Preoptic Area (ref)",-12
"OSBPL5","Preoptic Area (ref)",12.4792
"TNFRSF23","Preoptic Area (ref)",11
"AIRN","Preoptic Area (ref)",12.6812
"HTR2A","Preoptic Area (ref)",11.1261
"MAPT","Preoptic Area (ref)",15.9355
"MKRN1-PS1","Preoptic Area (ref)",11.8964
"DLX5","Preoptic Area (ref)",11
"IGF2R","Preoptic Area (ref)",1.4
"TRY4-new","Preoptic Area (ref)",-12
"TSPAN32","Preoptic Area (ref)",11
"ZIM2","Preoptic Area (ref)",-12
"PEC3","e17.5 Brain",-10
"UBE2NL","e17.5 Brain",-10
"TRAPPC9","e17.5 Brain",10
"EIF2C2","e17.5 Brain",10
"MIR344D-3","e17.5 Brain",-10
"MIR344G","e17.5 Brain",-10
"A930009L07RIK","e17.5 Brain",10
"KCNK9","e17.5 Brain",10
"RASGRF1","e17.5 Brain",-10
"INPP5F","e17.5 Brain",-10
"NAP1L5","e17.5 Brain",-10
"USP29","e17.5 Brain",-10
"HERC3-new","e17.5 Brain",4.3563
"GM9801-new","e17.5 Brain",-10
"BEGAIN","e17.5 Brain",-3.9764
"PX00010K13","e17.5 Brain",-10
"PEG13","e17.5 Brain",-10
"1110006E14RIK","e17.5 Brain",10
"MBII-343","e17.5 Brain",10
"MIRG","e17.5 Brain",10
"ZDBF2","e17.5 Brain",-10
"IMPACT","e17.5 Brain",-10
"NDN","e17.5 Brain",-10
"NIBP","e17.5 Brain",-10
"AK139287","e17.5 Brain",-9.0309
"CCDC40-AS","e17.5 Brain",-10
"PX00113D24","e17.5 Brain",-10
"PEC2","e17.5 Brain",-10
"ZIM3","e17.5 Brain",-10
"AK142849","e17.5 Brain",10
"MKRN3","e17.5 Brain",-10
"IPW","e17.5 Brain",-10
"B830012L14RIK","e17.5 Brain",10
"ADAM23","e17.5 Brain",-2.3625
"COMMD1","e17.5 Brain",0.59229
"UBE3A","e17.5 Brain",-0.85767
"WARS","e17.5 Brain",13.767
"BCL2L1","e17.5 Brain",-0.35194
"BLCAP","e17.5 Brain",10
"CALCR","e17.5 Brain",10
"MAGEL2","e17.5 Brain",-10
"CDH15","e17.5 Brain",-10
"COPG2","e17.5 Brain",10
"U80893","e17.5 Brain",-3.6124
"NR_015479-new","e17.5 Brain",10
"GRB10","e17.5 Brain",10
"PEG10","e17.5 Brain",-10
"SGCE","e17.5 Brain",-10
"PEG1","e17.5 Brain",-10
"MCTS2","e17.5 Brain",-2.8079
"H13","e17.5 Brain",10
"SNRPN","e17.5 Brain",-10
"ZRSR1","e17.5 Brain",-10
"MEG3","e17.5 Brain",10
"RIAN","e17.5 Brain",10
"PEG3","e17.5 Brain",-10
"PLAGL1","e17.5 Brain",-10
"1110014L15RIK-new","e17.5 Brain",11.8626
"ASB4","e17.5 Brain",10
"ZIM1","e17.5 Brain",10
"KLHDC10","e17.5 Brain",4.726
"DLK1","e17.5 Brain",-10
"GNAS","e17.5 Brain",10
"PPP1R9A","e17.5 Brain",1.9837
"PDE4D","e17.5 Brain",-2.2054
"A19","e17.5 Brain",-12
"ZFP264","e17.5 Brain",-12
"KCNQ1OT1","e17.5 Brain",-10
"AK050713","e17.5 Brain",7.2247
"RTL1","e17.5 Brain",9.7975
"CDKN1C","e17.5 Brain",10
"PEG12","e17.5 Brain",-10
"KCNQ1","e17.5 Brain",0.81325
"NESPAS","e17.5 Brain",-12
"SLC38A4","e17.5 Brain",-10
"H19","e17.5 Brain",10
"IGF2","e17.5 Brain",-10
"INS1","e17.5 Brain",-12
"TFPI2","e17.5 Brain",0.46376
"AK043599","e17.5 Brain",1.8113
"EDN3-new","e17.5 Brain",11.128
"TMEM106A-new","e17.5 Brain",-11
"DDC","e17.5 Brain",12.2097
"RDM1","e17.5 Brain",-0.37552
"TNK1-new","e17.5 Brain",-0.19605
"TREM1-new","e17.5 Brain",-12
"2400006E01RIK-new","e17.5 Brain",-12
"IGF2AS","e17.5 Brain",-2.8405
"UC008IHS.1-new","e17.5 Brain",-12
"5133400J02RIK-new","e17.5 Brain",-12
"PHLDA2","e17.5 Brain",-11
"AF357359","e17.5 Brain",6.0206
"GAB1","e17.5 Brain",12.4941
"SFMBT2","e17.5 Brain",-0.37051
"CD81","e17.5 Brain",14.9479
"PHF17","e17.5 Brain",11.6466
"TSSC4","e17.5 Brain",0.80918
"DACT2-new","e17.5 Brain",0.63047
"SLC22A2","e17.5 Brain",0.67372
"TSSC5","e17.5 Brain",0.60206
"SLC22A3","e17.5 Brain",-11
"KLF14","e17.5 Brain",0.30103
"ATP10A","e17.5 Brain",-1.8849
"DCN","e17.5 Brain",12.3812
"PON2","e17.5 Brain",11.8464
"PON3","e17.5 Brain",0.84004
"AMPD3","e17.5 Brain",12.1701
"GABRB3","e17.5 Brain",14.0611
"GATM","e17.5 Brain",12.8086
"TBC1D12","e17.5 Brain",11.6972
"DIO3","e17.5 Brain",-1.8113
"NAP1L4","e17.5 Brain",0.3375
"MSUIT","e17.5 Brain",0.30103
"ASCL2","e17.5 Brain",-12
"OSBPL5","e17.5 Brain",1.2911
"TNFRSF23","e17.5 Brain",1.5723
"AIRN","e17.5 Brain",-3.586
"HTR2A","e17.5 Brain",-11
"MAPT","e17.5 Brain",16
"MKRN1-PS1","e17.5 Brain",-11
"DLX5","e17.5 Brain",13.2539
"IGF2R","e17.5 Brain",3.8998
"TRY4-new","e17.5 Brain",-12
"TSPAN32","e17.5 Brain",-0.19605
"ZIM2","e17.5 Brain",-12
"PEC3","Hypothalamus",-10
"UBE2NL","Hypothalamus",-10
"TRAPPC9","Hypothalamus",9.3686
"EIF2C2","Hypothalamus",10
"MIR344D-3","Hypothalamus",-10
"MIR344G","Hypothalamus",-10
"A930009L07RIK","Hypothalamus",10
"KCNK9","Hypothalamus",7.5257
"RASGRF1","Hypothalamus",-10
"INPP5F","Hypothalamus",-10
"NAP1L5","Hypothalamus",-10
"USP29","Hypothalamus",-10
"HERC3-new","Hypothalamus",10
"GM9801-new","Hypothalamus",-10
"BEGAIN","Hypothalamus",-10
"PX00010K13","Hypothalamus",-10
"PEG13","Hypothalamus",-10
"1110006E14RIK","Hypothalamus",9.6362
"MBII-343","Hypothalamus",10
"MIRG","Hypothalamus",10
"ZDBF2","Hypothalamus",-10
"IMPACT","Hypothalamus",-10
"NDN","Hypothalamus",-10
"NIBP","Hypothalamus",-10
"AK139287","Hypothalamus",-12
"CCDC40-AS","Hypothalamus",-1.8
"PX00113D24","Hypothalamus",-10
"PEC2","Hypothalamus",-3.8622
"ZIM3","Hypothalamus",-10
"AK142849","Hypothalamus",0.30103
"MKRN3","Hypothalamus",-0.60206
"IPW","Hypothalamus",-1.024
"B830012L14RIK","Hypothalamus",1.2041
"ADAM23","Hypothalamus",-3.3418
"COMMD1","Hypothalamus",13.4105
"UBE3A","Hypothalamus",13.4968
"WARS","Hypothalamus",13.9438
"BCL2L1","Hypothalamus",-4.0345
"BLCAP","Hypothalamus",1.601
"CALCR","Hypothalamus",9.633
"MAGEL2","Hypothalamus",-10
"CDH15","Hypothalamus",-0.67372
"COPG2","Hypothalamus",10
"U80893","Hypothalamus",-6.6807
"NR_015479-new","Hypothalamus",1.9075
"GRB10","Hypothalamus",-10
"PEG10","Hypothalamus",-10
"SGCE","Hypothalamus",-10
"PEG1","Hypothalamus",-1.4513
"MCTS2","Hypothalamus",-0.87477
"H13","Hypothalamus",10
"SNRPN","Hypothalamus",-10
"ZRSR1","Hypothalamus",-10
"MEG3","Hypothalamus",10
"RIAN","Hypothalamus",10
"PEG3","Hypothalamus",-12
"PLAGL1","Hypothalamus",-12
"1110014L15RIK-new","Hypothalamus",10
"ASB4","Hypothalamus",10
"ZIM1","Hypothalamus",10
"KLHDC10","Hypothalamus",3.4916
"DLK1","Hypothalamus",-10
"GNAS","Hypothalamus",10
"PPP1R9A","Hypothalamus",10
"PDE4D","Hypothalamus",-0.64566
"A19","Hypothalamus",-12
"ZFP264","Hypothalamus",-12
"KCNQ1OT1","Hypothalamus",-10
"AK050713","Hypothalamus",-12
"RTL1","Hypothalamus",-1.0781
"CDKN1C","Hypothalamus",2.7093
"PEG12","Hypothalamus",-11
"KCNQ1","Hypothalamus",-11
"NESPAS","Hypothalamus",-12
"SLC38A4","Hypothalamus",-11
"H19","Hypothalamus",0.727
"IGF2","Hypothalamus",2.1357
"INS1","Hypothalamus",-12
"TFPI2","Hypothalamus",-12
"AK043599","Hypothalamus",3.9134
"EDN3-new","Hypothalamus",-11
"TMEM106A-new","Hypothalamus",-12
"DDC","Hypothalamus",3.4848
"RDM1","Hypothalamus",-12
"TNK1-new","Hypothalamus",-12
"TREM1-new","Hypothalamus",-12
"2400006E01RIK-new","Hypothalamus",-12
"IGF2AS","Hypothalamus",-12
"UC008IHS.1-new","Hypothalamus",-12
"5133400J02RIK-new","Hypothalamus",-12
"PHLDA2","Hypothalamus",-12
"AF357359","Hypothalamus",4.2144
"GAB1","Hypothalamus",1.0096
"SFMBT2","Hypothalamus",-0.33822
"CD81","Hypothalamus",0.3551
"PHF17","Hypothalamus",12.7973
"TSSC4","Hypothalamus",13.5512
"DACT2-new","Hypothalamus",12.3202
"SLC22A2","Hypothalamus",-12
"TSSC5","Hypothalamus",-11
"SLC22A3","Hypothalamus",-11
"KLF14","Hypothalamus",-12
"ATP10A","Hypothalamus",-0.42798
"DCN","Hypothalamus",0.38981
"PON2","Hypothalamus",12.8839
"PON3","Hypothalamus",0.30103
"AMPD3","Hypothalamus",12.993
"GABRB3","Hypothalamus",14.2974
"GATM","Hypothalamus",13.7326
"TBC1D12","Hypothalamus",11.9916
"DIO3","Hypothalamus",-11
"NAP1L4","Hypothalamus",14.6526
"MSUIT","Hypothalamus",-12
"ASCL2","Hypothalamus",-12
"OSBPL5","Hypothalamus",12.8488
"TNFRSF23","Hypothalamus",-11
"AIRN","Hypothalamus",-0.90309
"HTR2A","Hypothalamus",11.5613
"MAPT","Hypothalamus",15.3253
"MKRN1-PS1","Hypothalamus",-11
"DLX5","Hypothalamus",-0.12494
"IGF2R","Hypothalamus",1.0058
"TRY4-new","Hypothalamus",-12
"TSPAN32","Hypothalamus",-11
"ZIM2","Hypothalamus",-12
"PEC3","e15 Brain (ref)",-10
"UBE2NL","e15 Brain (ref)",-10
"TRAPPC9","e15 Brain (ref)",10
"EIF2C2","e15 Brain (ref)",10
"MIR344D-3","e15 Brain (ref)",-10
"MIR344G","e15 Brain (ref)",-10
"A930009L07RIK","e15 Brain (ref)",10
"KCNK9","e15 Brain (ref)",6.02
"RASGRF1","e15 Brain (ref)",-10
"INPP5F","e15 Brain (ref)",-10
"NAP1L5","e15 Brain (ref)",-10
"USP29","e15 Brain (ref)",-10
"HERC3-new","e15 Brain (ref)",-3.4
"GM9801-new","e15 Brain (ref)",-10
"BEGAIN","e15 Brain (ref)",-6.4
"PX00010K13","e15 Brain (ref)",-10
"PEG13","e15 Brain (ref)",-10
"1110006E14RIK","e15 Brain (ref)",10
"MBII-343","e15 Brain (ref)",10
"MIRG","e15 Brain (ref)",10
"ZDBF2","e15 Brain (ref)",-10
"IMPACT","e15 Brain (ref)",-10
"NDN","e15 Brain (ref)",-10
"NIBP","e15 Brain (ref)",-10
"AK139287","e15 Brain (ref)",-1.8
"CCDC40-AS","e15 Brain (ref)",11.2521
"PX00113D24","e15 Brain (ref)",-8.1
"PEC2","e15 Brain (ref)",NA
"ZIM3","e15 Brain (ref)",-12
"AK142849","e15 Brain (ref)",9.33
"MKRN3","e15 Brain (ref)",-10
"IPW","e15 Brain (ref)",-10
"B830012L14RIK","e15 Brain (ref)",6.09
"ADAM23","e15 Brain (ref)",-10
"COMMD1","e15 Brain (ref)",-10
"UBE3A","e15 Brain (ref)",-10
"WARS","e15 Brain (ref)",-10
"BCL2L1","e15 Brain (ref)",-3.3
"BLCAP","e15 Brain (ref)",10
"CALCR","e15 Brain (ref)",9.63
"MAGEL2","e15 Brain (ref)",-10
"CDH15","e15 Brain (ref)",-4.2
"COPG2","e15 Brain (ref)",-10
"U80893","e15 Brain (ref)",-10
"NR_015479-new","e15 Brain (ref)",10
"GRB10","e15 Brain (ref)",3.51
"PEG10","e15 Brain (ref)",-10
"SGCE","e15 Brain (ref)",-10
"PEG1","e15 Brain (ref)",-10
"MCTS2","e15 Brain (ref)",-8
"H13","e15 Brain (ref)",7.95
"SNRPN","e15 Brain (ref)",-10
"ZRSR1","e15 Brain (ref)",-10
"MEG3","e15 Brain (ref)",10
"RIAN","e15 Brain (ref)",10
"PEG3","e15 Brain (ref)",-10
"PLAGL1","e15 Brain (ref)",-10
"1110014L15RIK-new","e15 Brain (ref)",7.98
"ASB4","e15 Brain (ref)",10
"ZIM1","e15 Brain (ref)",10
"KLHDC10","e15 Brain (ref)",2.31
"DLK1","e15 Brain (ref)",-10
"GNAS","e15 Brain (ref)",0.9
"PPP1R9A","e15 Brain (ref)",13.8063
"PDE4D","e15 Brain (ref)",12.2137
"A19","e15 Brain (ref)",-12
"ZFP264","e15 Brain (ref)",NA
"KCNQ1OT1","e15 Brain (ref)",-10
"AK050713","e15 Brain (ref)",2.4
"RTL1","e15 Brain (ref)",0.76
"CDKN1C","e15 Brain (ref)",10
"PEG12","e15 Brain (ref)",-10
"KCNQ1","e15 Brain (ref)",-10
"NESPAS","e15 Brain (ref)",-4.41
"SLC38A4","e15 Brain (ref)",-10
"H19","e15 Brain (ref)",10
"IGF2","e15 Brain (ref)",-10
"INS1","e15 Brain (ref)",-12
"TFPI2","e15 Brain (ref)",-12
"AK043599","e15 Brain (ref)",-12
"EDN3-new","e15 Brain (ref)",0.55
"TMEM106A-new","e15 Brain (ref)",13.0977
"DDC","e15 Brain (ref)",1.21
"RDM1","e15 Brain (ref)",13.2501
"TNK1-new","e15 Brain (ref)",11
"TREM1-new","e15 Brain (ref)",-12
"2400006E01RIK-new","e15 Brain (ref)",-12
"IGF2AS","e15 Brain (ref)",-0.3
"UC008IHS.1-new","e15 Brain (ref)",-12
"5133400J02RIK-new","e15 Brain (ref)",-12
"PHLDA2","e15 Brain (ref)",-12
"AF357359","e15 Brain (ref)",0.6
"GAB1","e15 Brain (ref)",12.3884
"SFMBT2","e15 Brain (ref)",0.32
"CD81","e15 Brain (ref)",2.32
"PHF17","e15 Brain (ref)",13.4857
"TSSC4","e15 Brain (ref)",13.9728
"DACT2-new","e15 Brain (ref)",11
"SLC22A2","e15 Brain (ref)",11.03
"TSSC5","e15 Brain (ref)",11.6467
"SLC22A3","e15 Brain (ref)",11
"KLF14","e15 Brain (ref)",-12
"ATP10A","e15 Brain (ref)",14.9647
"DCN","e15 Brain (ref)",16.3843
"PON2","e15 Brain (ref)",13.6065
"PON3","e15 Brain (ref)",13.3827
"AMPD3","e15 Brain (ref)",13.4317
"GABRB3","e15 Brain (ref)",12.71
"GATM","e15 Brain (ref)",12.3004
"TBC1D12","e15 Brain (ref)",12.5794
"DIO3","e15 Brain (ref)",11.9765
"NAP1L4","e15 Brain (ref)",0.54
"MSUIT","e15 Brain (ref)",-12
"ASCL2","e15 Brain (ref)",-12
"OSBPL5","e15 Brain (ref)",12.8144
"TNFRSF23","e15 Brain (ref)",11.3259
"AIRN","e15 Brain (ref)",-10
"HTR2A","e15 Brain (ref)",0.77
"MAPT","e15 Brain (ref)",10
"MKRN1-PS1","e15 Brain (ref)",0.51
"DLX5","e15 Brain (ref)",NA
"IGF2R","e15 Brain (ref)",13.1517
"TRY4-new","e15 Brain (ref)",-12
"TSPAN32","e15 Brain (ref)",11.1042
"ZIM2","e15 Brain (ref)",-12
"PEC3","e9.5 Yolk Sac",-12
"UBE2NL","e9.5 Yolk Sac",-12
"TRAPPC9","e9.5 Yolk Sac",-11
"EIF2C2","e9.5 Yolk Sac",13.0447
"MIR344D-3","e9.5 Yolk Sac",-12
"MIR344G","e9.5 Yolk Sac",-12
"A930009L07RIK","e9.5 Yolk Sac",-12
"KCNK9","e9.5 Yolk Sac",-12
"RASGRF1","e9.5 Yolk Sac",-12
"INPP5F","e9.5 Yolk Sac",13.2006
"NAP1L5","e9.5 Yolk Sac",0.30103
"USP29","e9.5 Yolk Sac",-4.2144
"HERC3-new","e9.5 Yolk Sac",12.0829
"GM9801-new","e9.5 Yolk Sac",-12
"BEGAIN","e9.5 Yolk Sac",-1.581
"PX00010K13","e9.5 Yolk Sac",-7.0322
"PEG13","e9.5 Yolk Sac",-2.6798
"1110006E14RIK","e9.5 Yolk Sac",10
"MBII-343","e9.5 Yolk Sac",10
"MIRG","e9.5 Yolk Sac",10
"ZDBF2","e9.5 Yolk Sac",-9.6362
"IMPACT","e9.5 Yolk Sac",-10
"NDN","e9.5 Yolk Sac",-7.0322
"NIBP","e9.5 Yolk Sac",-1.0929
"AK139287","e9.5 Yolk Sac",-12
"CCDC40-AS","e9.5 Yolk Sac",-11
"PX00113D24","e9.5 Yolk Sac",-1.5051
"PEC2","e9.5 Yolk Sac",-12
"ZIM3","e9.5 Yolk Sac",-12
"AK142849","e9.5 Yolk Sac",2.1891
"MKRN3","e9.5 Yolk Sac",-12
"IPW","e9.5 Yolk Sac",-12
"B830012L14RIK","e9.5 Yolk Sac",7.8268
"ADAM23","e9.5 Yolk Sac",12.0349
"COMMD1","e9.5 Yolk Sac",15.0487
"UBE3A","e9.5 Yolk Sac",12.5558
"WARS","e9.5 Yolk Sac",13.7785
"BCL2L1","e9.5 Yolk Sac",14.102
"BLCAP","e9.5 Yolk Sac",13.246
"CALCR","e9.5 Yolk Sac",0.30103
"MAGEL2","e9.5 Yolk Sac",-1.2041
"CDH15","e9.5 Yolk Sac",11.7719
"COPG2","e9.5 Yolk Sac",13.2597
"U80893","e9.5 Yolk Sac",-12
"NR_015479-new","e9.5 Yolk Sac",12.0978
"GRB10","e9.5 Yolk Sac",10
"PEG10","e9.5 Yolk Sac",-10
"SGCE","e9.5 Yolk Sac",-10
"PEG1","e9.5 Yolk Sac",-10
"MCTS2","e9.5 Yolk Sac",-3.6124
"H13","e9.5 Yolk Sac",6.7436
"SNRPN","e9.5 Yolk Sac",-10
"ZRSR1","e9.5 Yolk Sac",-4.5154
"MEG3","e9.5 Yolk Sac",10
"RIAN","e9.5 Yolk Sac",10
"PEG3","e9.5 Yolk Sac",-10
"PLAGL1","e9.5 Yolk Sac",-10
"1110014L15RIK-new","e9.5 Yolk Sac",5.0154
"ASB4","e9.5 Yolk Sac",10
"ZIM1","e9.5 Yolk Sac",10
"KLHDC10","e9.5 Yolk Sac",4.4687
"DLK1","e9.5 Yolk Sac",-10
"GNAS","e9.5 Yolk Sac",10
"PPP1R9A","e9.5 Yolk Sac",7.5328
"PDE4D","e9.5 Yolk Sac",-11
"A19","e9.5 Yolk Sac",-12
"ZFP264","e9.5 Yolk Sac",-0.30103
"KCNQ1OT1","e9.5 Yolk Sac",-10
"AK050713","e9.5 Yolk Sac",1.2041
"RTL1","e9.5 Yolk Sac",2.4468
"CDKN1C","e9.5 Yolk Sac",10
"PEG12","e9.5 Yolk Sac",-3.0103
"KCNQ1","e9.5 Yolk Sac",0.30103
"NESPAS","e9.5 Yolk Sac",-12
"SLC38A4","e9.5 Yolk Sac",-10
"H19","e9.5 Yolk Sac",10
"IGF2","e9.5 Yolk Sac",-10
"INS1","e9.5 Yolk Sac",-12
"TFPI2","e9.5 Yolk Sac",11.1897
"AK043599","e9.5 Yolk Sac",-12
"EDN3-new","e9.5 Yolk Sac",0.30103
"TMEM106A-new","e9.5 Yolk Sac",13.1732
"DDC","e9.5 Yolk Sac",13.3351
"RDM1","e9.5 Yolk Sac",0.3765
"TNK1-new","e9.5 Yolk Sac",12.5285
"TREM1-new","e9.5 Yolk Sac",-11
"2400006E01RIK-new","e9.5 Yolk Sac",-11
"IGF2AS","e9.5 Yolk Sac",-10
"UC008IHS.1-new","e9.5 Yolk Sac",-6.3954
"5133400J02RIK-new","e9.5 Yolk Sac",-4.5154
"PHLDA2","e9.5 Yolk Sac",10
"AF357359","e9.5 Yolk Sac",9.8481
"GAB1","e9.5 Yolk Sac",-10
"SFMBT2","e9.5 Yolk Sac",-10
"CD81","e9.5 Yolk Sac",10
"PHF17","e9.5 Yolk Sac",-4.1527
"TSSC4","e9.5 Yolk Sac",3.1631
"DACT2-new","e9.5 Yolk Sac",7.9668
"SLC22A2","e9.5 Yolk Sac",10
"TSSC5","e9.5 Yolk Sac",10
"SLC22A3","e9.5 Yolk Sac",3.7995
"KLF14","e9.5 Yolk Sac",2.3206
"ATP10A","e9.5 Yolk Sac",-11
"DCN","e9.5 Yolk Sac",-0.4264
"PON2","e9.5 Yolk Sac",12.5513
"PON3","e9.5 Yolk Sac",0.30103
"AMPD3","e9.5 Yolk Sac",-11
"GABRB3","e9.5 Yolk Sac",-12
"GATM","e9.5 Yolk Sac",11.648
"TBC1D12","e9.5 Yolk Sac",-11
"DIO3","e9.5 Yolk Sac",-1.6203
"NAP1L4","e9.5 Yolk Sac",1.6098
"MSUIT","e9.5 Yolk Sac",-12
"ASCL2","e9.5 Yolk Sac",-12
"OSBPL5","e9.5 Yolk Sac",1.1997
"TNFRSF23","e9.5 Yolk Sac",0.30103
"AIRN","e9.5 Yolk Sac",-2.2321
"HTR2A","e9.5 Yolk Sac",-12
"MAPT","e9.5 Yolk Sac",0.19605
"MKRN1-PS1","e9.5 Yolk Sac",-0.30103
"DLX5","e9.5 Yolk Sac",-12
"IGF2R","e9.5 Yolk Sac",10
"TRY4-new","e9.5 Yolk Sac",-12
"TSPAN32","e9.5 Yolk Sac",11.8239
"ZIM2","e9.5 Yolk Sac",-12
"PEC3","Prefrontal Cortex (ref)",-10
"UBE2NL","Prefrontal Cortex (ref)",-10
"TRAPPC9","Prefrontal Cortex (ref)",10
"EIF2C2","Prefrontal Cortex (ref)",5.86
"MIR344D-3","Prefrontal Cortex (ref)",-10
"MIR344G","Prefrontal Cortex (ref)",-10
"A930009L07RIK","Prefrontal Cortex (ref)",10
"KCNK9","Prefrontal Cortex (ref)",7.54
"RASGRF1","Prefrontal Cortex (ref)",-10
"INPP5F","Prefrontal Cortex (ref)",-10
"NAP1L5","Prefrontal Cortex (ref)",-10
"USP29","Prefrontal Cortex (ref)",-10
"HERC3-new","Prefrontal Cortex (ref)",-0.7
"GM9801-new","Prefrontal Cortex (ref)",-2.2
"BEGAIN","Prefrontal Cortex (ref)",-2.7
"PX00010K13","Prefrontal Cortex (ref)",-10
"PEG13","Prefrontal Cortex (ref)",-10
"1110006E14RIK","Prefrontal Cortex (ref)",10
"MBII-343","Prefrontal Cortex (ref)",10
"MIRG","Prefrontal Cortex (ref)",10
"ZDBF2","Prefrontal Cortex (ref)",-10
"IMPACT","Prefrontal Cortex (ref)",-10
